Transaction ID,Date,Time,Amount,Type,Description,Merchant,Category,Payment Mode,Account,Location,Recurring
13e42b93,12/06/2025,20:00,864.52,Debit,Payment to BigBasket,BigBasket,Groceries,Cash,Paytm Wallet,Chennai,True
55f29e64,29/06/2025,21:26,2235.16,Debit,Payment to Zomato,Zomato,Food & Drinks,UPI,SBI,Chennai,True
7ccd449a,23/06/2025,14:04,1369.18,Debit,Payment to Uber,Uber,Transport,Wallet,Paytm Wallet,Delhi,False
372feda0,2025-06-03,22:53,928.06,Debit,Payment to Landlord,Landlord,Rent,Card,ICICI,Hyderabad,True
ba3e1c78,26/06/2025,10:42,2640.03,Debit,Payment to BigBasket,BigBasket,Groceries,Cash,HDFC,Chennai,False
b11111fd,2025-06-28,19:17,4176.92,Debit,Payment to BigBasket,BigBasket,Groceries,UPI,HDFC,Chennai,False
26e4113a,08/06/2025,20:48,4769.4,Debit,Payment to Netflix,Netflix,Entertainment,Cash,ICICI,Mumbai,True
0800d716,14/06/2025,12:55,1254.98,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Card,Paytm Wallet,Bangalore,False
4ad6f39b,20/06/2025,22:15,3434.65,Debit,Payment to IRCTC,IRCTC,Travel,Wallet,ICICI,Bangalore,False
096d138c,19/06/2025,03:38,772.27,Debit,Payment to Airtel,Airtel,,UPI,HDFC,Mumbai,True
7e253b07,29/06/2025,10:17,-2213.56,Credit,Payment to IRCTC,IRCTC,Travel,Wallet,ICICI,Chennai,True
76f2339f,2025-06-06,07:56,318.04,Debit,Payment to Uber,Uber,Transport,Cash,HDFC,Bangalore,False
3e45a3f8,2025-06-24,10:32,1903.97,Debit,Payment to Starbucks,Starbucks,Food & Drinks,UPI,HDFC,Chennai,True
beb422df,14/06/2025,07:10,1759.98,Debit,Payment to Airtel,Airtel,Utilities,Card,SBI,Chennai,False
9e7acefa,2025-06-20,00:25,1070.74,Debit,Payment to Landlord,Landlord,Rent,Wallet,SBI,Hyderabad,True
ddbcfaf7,2025-06-14,10:45,247.06,Debit,Payment to Airtel,Airtel,Utilities,Card,HDFC,Chennai,True
9ff81694,2025-06-20,00:15,562.63,Debit,Payment to Flipkart,Flipkart,Shopping,Wallet,SBI,Chennai,False
2d052c5d,2025-06-08,06:39,-2750.3,Credit,Payment to Amazon,Amazon,Shopping,UPI,Paytm Wallet,Delhi,True
9be168ac,2025-06-12,02:03,3527.41,Debit,Payment to Flipkart,Flipkart,Shopping,Cash,SBI,Bangalore,True
6a1454eb,01/06/2025,13:32,1768.18,Debit,Payment to BigBasket,BigBasket,Groceries,UPI,SBI,Hyderabad,False
40597ce9,15/06/2025,07:15,-2545.66,Credit,Payment to Zomato,Zomato,,Cash,HDFC,Hyderabad,False
fac5c177,15/06/2025,09:20,4969.86,Debit,Payment to Uber,Uber,,Cash,Paytm Wallet,Delhi,False
a8374a75,12/06/2025,08:02,1101.57,Debit,Payment to Electricity Board,Electricity Board,Utilities,Wallet,SBI,Hyderabad,True
341c96a6,2025-06-22,08:06,4033.0,Debit,Payment to IRCTC,IRCTC,Travel,UPI,SBI,Hyderabad,True
6608f478,2025-06-04,20:46,1020.35,Debit,Payment to Uber,Uber,Transport,Card,ICICI,Mumbai,False
64b902bd,13/06/2025,22:45,4297.3,Debit,Payment to BigBasket,BigBasket,Groceries,Wallet,Paytm Wallet,Chennai,True
8e76b22a,26/06/2025,10:56,927.99,Debit,Payment to Amazon,Amazon,Shopping,UPI,HDFC,Mumbai,False
e1c88b26,2025-06-29,22:51,674.0,Debit,Payment to Uber,Uber,Transport,UPI,Paytm Wallet,Delhi,True
805f1f28,2025-06-19,02:20,2598.9,Debit,Payment to Zomato,Zomato,Food & Drinks,Card,ICICI,Mumbai,False
36b638f4,27/06/2025,16:19,4380.94,Debit,Payment to PayTM,PayTM,,Cash,Paytm Wallet,Mumbai,False
afe50dec,2025-06-28,15:56,4124.1,Debit,Payment to Zomato,Zomato,Food & Drinks,UPI,HDFC,Delhi,False
33637e23,07/06/2025,01:39,265.13,Debit,Payment to Netflix,Netflix,Entertainment,Card,SBI,Chennai,False
3d1b0444,03/06/2025,21:52,3014.15,Debit,Payment to Electricity Board,Electricity Board,,UPI,Paytm Wallet,Bangalore,False
26e9e9b9,2025-06-03,07:22,3152.93,Debit,Payment to Starbucks,Starbucks,Food & Drinks,UPI,HDFC,Chennai,True
72748a77,29/06/2025,07:05,3963.7,Debit,Payment to Electricity Board,Electricity Board,,Wallet,ICICI,Bangalore,False
901de8fa,11/06/2025,22:29,2060.97,Debit,Payment to Amazon,Amazon,Shopping,UPI,Paytm Wallet,Chennai,True
5a6ab55d,2025-06-19,23:49,623.58,Debit,Payment to Dominos,Dominos,Food & Drinks,Card,Paytm Wallet,Bangalore,True
993763ef,2025-06-30,18:52,1229.63,Debit,Payment to IRCTC,IRCTC,Travel,Cash,Paytm Wallet,Hyderabad,False
d23e1084,2025-06-23,07:49,4992.5,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Cash,SBI,Hyderabad,True
0d62f383,2025-06-17,14:24,3582.33,Debit,Payment to IRCTC,IRCTC,Travel,Card,SBI,Mumbai,True
5370e8b6,2025-06-07,09:52,1080.92,Debit,Payment to Airtel,Airtel,Utilities,Wallet,ICICI,Mumbai,False
fe06d106,06/06/2025,04:01,-4290.78,Credit,Payment to Zomato,Zomato,Food & Drinks,Wallet,Paytm Wallet,Bangalore,False
f9d8fbe6,29/06/2025,02:09,175.23,Debit,Payment to Flipkart,Flipkart,Shopping,Wallet,ICICI,Chennai,True
4fe546fa,01/06/2025,09:19,1987.85,Debit,Payment to IRCTC,IRCTC,Travel,UPI,Paytm Wallet,Hyderabad,False
fe08c44e,2025-06-12,16:57,164.83,Debit,Payment to Dominos,Dominos,,Card,HDFC,Chennai,False
90df7eea,30/06/2025,02:02,3216.66,Debit,Payment to Zomato,Zomato,Food & Drinks,Card,SBI,Hyderabad,True
60fe19cd,2025-06-25,10:17,1187.05,Debit,Payment to IRCTC,IRCTC,Travel,Card,SBI,Bangalore,False
0862ec33,01/06/2025,13:16,597.79,Debit,Payment to Swiggy,Swiggy,Food & Drinks,UPI,Paytm Wallet,Mumbai,True
c8654207,2025-06-26,11:57,4222.44,Debit,Payment to Dominos,Dominos,Food & Drinks,UPI,Paytm Wallet,Chennai,True
86283447,09/06/2025,03:26,3553.62,Debit,Payment to Dominos,Dominos,Food & Drinks,UPI,SBI,Hyderabad,False
100f5bd2,2025-06-24,18:18,-2090.45,Credit,Payment to Hotstar,Hotstar,Entertainment,Card,SBI,Bangalore,False
79517f75,2025-06-10,01:37,1173.08,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Wallet,SBI,Chennai,False
89e08fb0,2025-06-07,07:52,3053.59,Debit,Payment to Uber,Uber,Transport,Cash,ICICI,Bangalore,False
c0eda13b,25/06/2025,02:37,174.09,Debit,Payment to Netflix,Netflix,Entertainment,Wallet,Paytm Wallet,Bangalore,True
256850b2,10/06/2025,20:07,-4088.84,Credit,Payment to IRCTC,IRCTC,Travel,Wallet,HDFC,Chennai,True
d48215f4,2025-06-25,07:48,1835.52,Debit,Payment to Hotstar,Hotstar,,Cash,ICICI,Delhi,False
45081a4c,15/06/2025,07:33,3050.98,Debit,Payment to PayTM,PayTM,Wallet Top-Up,Card,Paytm Wallet,Bangalore,True
122bdda5,10/06/2025,06:53,3537.78,Debit,Payment to IRCTC,IRCTC,,Wallet,SBI,Mumbai,True
271e77c8,03/06/2025,02:06,3962.24,Debit,Payment to Hotstar,Hotstar,Entertainment,UPI,SBI,Mumbai,True
cca19ac8,25/06/2025,09:37,3242.15,Debit,Payment to Zomato,Zomato,,Card,SBI,Bangalore,False
6577df90,2025-06-23,00:13,3276.32,Debit,Payment to Dominos,Dominos,Food & Drinks,Wallet,HDFC,Mumbai,False
bb650d3a,04/06/2025,14:53,2303.95,Debit,Payment to BigBasket,BigBasket,Groceries,Card,HDFC,Bangalore,False
75314bbc,2025-06-11,07:38,2933.0,Debit,Payment to PayTM,PayTM,Wallet Top-Up,Card,Paytm Wallet,Delhi,False
fd671cd5,2025-06-24,12:37,4468.95,Debit,Payment to Airtel,Airtel,Utilities,Wallet,Paytm Wallet,Chennai,True
42d31e40,24/06/2025,22:16,2476.02,Debit,Payment to Electricity Board,Electricity Board,Utilities,Cash,ICICI,Bangalore,True
a64f76ff,21/06/2025,11:54,495.48,Debit,Payment to Uber,Uber,Transport,UPI,ICICI,Mumbai,True
30667b41,2025-06-20,06:36,4901.36,Debit,Payment to Netflix,Netflix,Entertainment,Card,SBI,Delhi,False
b71c6733,30/06/2025,22:32,3762.31,Debit,Payment to Starbucks,Starbucks,Food & Drinks,Wallet,SBI,Mumbai,False
6076268a,2025-06-27,17:49,1132.89,Debit,Payment to Electricity Board,Electricity Board,Utilities,Wallet,Paytm Wallet,Delhi,False
5544c229,20/06/2025,06:23,2243.18,Debit,Payment to Starbucks,Starbucks,Food & Drinks,Wallet,HDFC,Delhi,True
c5e29e64,15/06/2025,14:49,-3587.43,Credit,Payment to Netflix,Netflix,Entertainment,UPI,Paytm Wallet,Bangalore,False
f8cf3c50,20/06/2025,03:01,1638.69,Debit,Payment to BigBasket,BigBasket,Groceries,Cash,SBI,Chennai,True
0432c188,12/06/2025,02:03,3486.18,Debit,Payment to Flipkart,Flipkart,Shopping,UPI,SBI,Mumbai,True
211e2227,24/06/2025,19:33,4574.0,Debit,Payment to Swiggy,Swiggy,Food & Drinks,UPI,SBI,Hyderabad,False
c547c478,27/06/2025,04:02,1571.86,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Cash,HDFC,Bangalore,False
1850821f,2025-06-29,22:50,4840.32,Debit,Payment to Flipkart,Flipkart,Shopping,Cash,SBI,Hyderabad,False
ce0a9c95,2025-06-26,14:30,2453.83,Debit,Payment to Airtel,Airtel,Utilities,Wallet,ICICI,Chennai,False
7d7b5d0c,2025-06-17,01:57,3089.21,Debit,Payment to Landlord,Landlord,Rent,Wallet,SBI,Bangalore,False
508eeb21,04/06/2025,09:35,3932.25,Debit,Payment to Swiggy,Swiggy,Food & Drinks,Cash,ICICI,Hyderabad,True
b6914970,23/06/2025,19:42,2205.37,Debit,Payment to Netflix,Netflix,Entertainment,Wallet,SBI,Bangalore,False
43c0b3e4,15/06/2025,23:07,1181.63,Debit,Payment to Airtel,Airtel,Utilities,UPI,ICICI,Chennai,True
74bbce42,08/06/2025,02:46,219.4,Debit,Payment to Starbucks,Starbucks,,UPI,SBI,Bangalore,False
