User_ID,Date,Time,Amount,Type,Description,Merchant,Category,Payment mode,Account,Location,Recurring,Payment Mode
1.0,2025-06-15,10:30,1500.0,Debit,Groceries purchase,BigBasket,Groceries,Card,HDFC,Hyderabad,True,
1.0,2025-06-18,12:15,750.0,Debit,Lunch at KFC,KFC,Food & Drinks,UPI,SBI,Bangalore,False,
1.0,2025-06-20,09:45,2500.0,Debit,Train Ticket Booking,IRCTC,Travel,Wallet,ICICI,Delhi,True,
1.0,2025-06-25,15:30,-1000.0,Credit,Refund from IRCTC,IRCTC,Travel,Wallet,ICICI,Delhi,False,
,,,,,,,,,Debit,Food & Drinks,False,
,,,,,,,,,Debit,Food & Drinks,False,
1.0,2025-08-02,01:00,2500.0,Shopping,Amazon,Card,HDFC,Hyderabad,Credit,Utilities,False,
1.0,2020-04-02,12:00,1000.0,Exam,College,Card,ICICI,Hyderabad,Credit,Others,True,
3.0,2020-03-15,12:00,2000.0,Shopping,Trends,Card,ICICI,Mumbai,Credit,Utilities,True,
3.0,2021-09-18,04:39,1020.0,Food,Zomato,UPI,HDFC,Chennai,Credit,Food & Drinks,True,
3.0,2023-05-13,10:20,3000.0,Petrol,IndianOil,Card,IndusInd,Mumbai,Credit,Transport,True,
3.0,2024-12-30,12:40,5000.0,Gift,Amazon,UPI,ICICI,Hyderabad,Credit,Others,False,
3.0,2024-12-12,12:55,3500.0,Food,Swiggy,Card,HDFC,Mumbai,Credit,Food & Drinks,False,
3.0,2024-11-29,03:40,300.0,Groceries,Ratnadeep,Card,HDFC,Hyderabad,Credit,Groceries,True,
3.0,12/6/2025,20:00,864.52,Debit,Payment to BigBasket,BigBasket,Groceries,,Paytm Wallet,Chennai,True,Cash
3.0,29/06/2025,21:26,2235.16,Debit,Payment to Zomato,Zomato,Food & Drinks,,SBI,Chennai,True,UPI
3.0,23/06/2025,14:04,1369.18,Debit,Payment to Uber,Uber,Transport,,Paytm Wallet,Delhi,False,Wallet
3.0,6/3/2025,22:53,928.06,Debit,Payment to Landlord,Landlord,Rent,,ICICI,Hyderabad,True,Card
3.0,26/06/2025,10:42,2640.03,Debit,Payment to BigBasket,BigBasket,Groceries,,HDFC,Chennai,False,Cash
3.0,6/28/2025,19:17,4176.92,Debit,Payment to BigBasket,BigBasket,Groceries,,HDFC,Chennai,False,UPI
3.0,8/6/2025,20:48,4769.4,Debit,Payment to Netflix,Netflix,Entertainment,,ICICI,Mumbai,True,Cash
3.0,14/06/2025,12:55,1254.98,Debit,Payment to Swiggy,Swiggy,Food & Drinks,,Paytm Wallet,Bangalore,False,Card
3.0,20/06/2025,22:15,3434.65,Debit,Payment to IRCTC,IRCTC,Travel,,ICICI,Bangalore,False,Wallet
